Class,AU01,AU02,AU05,AU06,AU09,AU10,AU11,AU12,AU15,AU24,AU25,AU26,anger,disgust,fear,happiness,sadness,surprise,neutral
Suicidal,0.586432844,0.369931281,0.55272427,0.094920343,0.369343768,0.592848261,0.502191098,0.780174237,0.052002966,0.294441474,0.350775567,0.124026349,0.688241035,0.181892176,0.757451983,0.000393483,0.69711196,0.726445137,0.205859034
Suicidal,0.486890397,0.491164533,0.349864916,0.114203481,0.405680996,0.261366683,0.492453768,0.087060889,0.173248352,0.279070043,0.43936624,0.119486958,0.505778559,0.233777166,0.4778011,0.05189633,0.252210585,0.772308598,0.50942403
Non Suicidal,0.585089443,0.506852815,0.716298756,0.39206716,0.468245131,0.94133103,0.480420005,0.69091485,0.354559441,0.614657812,0.885951193,0.217380238,0.044889121,0.027711203,0.059465612,0.588561741,0.077515256,0.370546361,0.810658595
Non Suicidal,0.269921692,0.551194681,0.296240718,0.285890365,0.448987294,0.462617393,0.48474978,0.787551049,0.283770249,0.415855033,0.697870321,0.202991732,0.093129385,0.011933398,0.006113961,0.367385941,0.086842851,0.342637721,0.868962947
Non Suicidal,0.318341342,0.401291178,0.50969842,0.491325212,0.21070031,0.735744655,0.480539714,0.876415339,0.514408136,0.580892439,0.998022295,0.160397501,0.014772525,0.006813096,0.089500035,0.646809172,0.086148592,0.351646701,0.597590479
Non Suicidal,0.397983392,0.587207447,0.722271859,0.524876314,0.433287677,0.444572793,0.509165583,0.596211402,0.624672275,0.439897081,0.430373084,0.331027243,0.046440276,0.000717176,0.023382961,0.385347415,0.097553447,0.223359954,0.525825772
Suicidal,0.564577641,0.429520111,0.442080873,0.268225589,0.322710603,0.59100242,0.464625224,0.4966697,0.329756094,0.488581979,0.522999093,0.343683807,0.888252349,0.217350171,0.670772143,0.057433311,0.423727378,0.479189447,0.515957255
Suicidal,0.707887975,0.44490131,0.382681999,0.281651697,0.212793389,0.43329935,0.499501724,0.323356434,0.111146859,0.304346094,0.184618817,0.289253502,0.4073137,0.070678235,0.432011289,0.023345895,0.256547121,0.514084491,0.695910676
Suicidal,0.562881084,0.40142277,0.295740102,0.091494113,0.197515079,0.095582888,0.474047015,0.234139527,0.049111971,0.328172948,0.427433494,0.238704839,0.734752468,0.048753371,0.576585127,0.045818428,0.759591967,0.829844952,0.531922998
Suicidal,0.346911145,0.405799571,0.608379301,0.183680577,0.139669657,0.165829135,0.463599427,0.390000347,0.394283964,0.37857423,0.546656513,0.247754247,0.530226072,0.162570054,0.436719038,0.002564986,0.838767053,0.458224841,0.370755267
Non Suicidal,0.367774837,0.405088753,0.759918785,0.289384523,0.490613107,0.908255687,0.516409952,0.494872819,0.483079513,0.529105295,0.487691565,0.655361006,0.048469156,0.016043329,0.080972193,0.353573967,0.018788066,0.037467402,0.560224979
Suicidal,0.7187526,0.46663406,0.48220178,0.16464557,0.25747943,0.1719105,0.4614339,0.030062955,0.4104651,0.4545722,0.08120868,0.20497513,0.000729938,7.25E-05,0.23023674,0.000250945,0.098728046,0.58577317,0.084208645
Suicidal,0.52896157,0.478733087,0.453180522,0.264085278,0.19075171,0.214121438,0.509212217,0.383837992,0.125595236,0.281670326,0.490622728,0.050323729,0.838170824,0.100583317,0.61606761,0.060148461,0.377282569,0.529345668,0.683335481
Suicidal,0.26874548,0.39738613,0.3703664,0.7266995,0.38605323,0.82319313,0.50324583,0.7568445,0.063246734,0.57106817,0.09370969,0.18156335,0.004276294,0.002216115,0.004574995,0.001361786,0.981961,0.000609537,0.005000296
Non Suicidal,0.394020994,0.407128313,0.565523005,0.257289118,0.468948306,0.345691279,0.513635504,0.723417395,0.447390563,0.626722079,0.635639373,0.339430923,0.034659324,0.003337785,0.030657915,0.509583069,0.055476965,0.219946227,0.914593231
Suicidal,0.348420068,0.362035591,0.394540049,0.0840303,0.363770843,0.663063113,0.502975084,0.55049313,0.062981642,0.469906548,0.63920631,0.184261081,0.825484385,0.232799308,0.891394215,0.059965862,0.905787389,0.698594089,0.813033749
Suicidal,0.5061051,0.59085613,0.5428558,0.2509745,0.31046242,0.20845163,0.4676389,0.15626717,0.25789535,0.54545254,0.62664735,0.62777835,0.2129015,0.050743647,0.16777782,0.002230682,0.33414426,0.2093693,0.022832746
Suicidal,0.453641141,0.350941504,0.246762462,0.246506271,0.269283712,0.383326654,0.474307539,0.732820992,0.318757287,0.328234622,0.375893915,0.087671004,0.284816887,0.186984059,0.315700123,0.041453535,0.619259022,0.601792093,0.379705286
Suicidal,0.707239448,0.426036542,0.547632614,0.257439675,0.312430125,0.67226659,0.498977808,0.504206359,0.28389677,0.451707528,0.278528475,0.09236734,0.880867558,0.064050511,0.672070295,0.094091067,0.530462388,0.721480132,0.704043623
Non Suicidal,0.579352197,0.4542096,0.39238636,0.627665205,0.454102879,0.730409449,0.491796987,0.521249098,0.465396182,0.464690742,0.610282035,0.102359379,0.017504911,0.027618139,0.058714965,0.564595393,0.027023904,0.109813206,0.944202054
Non Suicidal,0.457992593,0.546637626,0.310457075,0.389703251,0.549977183,0.383056483,0.50244518,0.439198166,0.124622102,0.57221562,0.577415967,0.151853984,0.018810851,0.013581249,0.070685179,0.515109653,0.098343759,0.219119002,0.317313784
Suicidal,0.372836068,0.403690732,0.518746799,0.193329782,0.303918467,0.137851077,0.46275012,0.170440928,0.44982635,0.304055791,0.232459335,0.379039609,0.54173239,0.11804248,0.860569291,0.098656301,0.363224414,0.819759411,0.413574031
Suicidal,0.675867161,0.421048254,0.24797956,0.299096497,0.443584773,0.21382623,0.497218173,0.792458039,0.363905438,0.418473685,0.106914135,0.316406954,0.204757853,0.23504049,0.92041482,0.050518688,0.302378363,0.556386889,0.748477707
Non Suicidal,0.20326355,0.475912396,0.536065386,0.416298626,0.504063823,0.916419521,0.482626027,0.830124339,0.499809287,0.486545361,0.422726352,0.114679806,0.041982124,0.013377534,0.082845411,0.885252095,0.025066282,0.110809426,0.443664071
Suicidal,0.631599149,0.385225227,0.372118536,0.120761335,0.209770454,0.764764983,0.495357626,0.246237492,0.048119497,0.15239646,0.314134973,0.234922918,0.297080373,0.104019585,0.397641841,0.052730837,0.55701676,0.73786142,0.237740971
Non Suicidal,0.26882672,0.5494859,0.34510922,0.89434737,0.5335126,0.57073706,0.4781363,0.9034962,0.17599949,0.38811234,0.99880433,0.1557936,0.000131489,3.38E-05,8.29E-05,0.9992029,0.000383943,9.18E-05,7.34E-05
Non Suicidal,0.350896245,0.417159166,0.492663022,0.882062934,0.306925265,0.83487065,0.514417148,0.500629241,0.539903108,0.645620456,0.454677054,0.478107705,0.037888004,0.000692556,0.032445213,0.279801866,0.001455693,0.133542601,0.384289923
Non Suicidal,0.384890806,0.436623654,0.75517657,0.659790283,0.298565217,0.894338532,0.519914926,0.661990488,0.498415585,0.435640055,0.729782391,0.393260775,0.071216689,0.022766894,0.086471341,0.31609886,0.040911818,0.28095855,0.313560957
Non Suicidal,0.61445142,0.54304794,0.648678794,0.762698567,0.232261809,0.500096889,0.504295007,0.482981925,0.336563788,0.64932996,0.508668137,0.131588902,0.0267971,0.009259606,0.040351693,0.343290432,0.098472895,0.316541883,0.921806221
Non Suicidal,0.570089184,0.53998373,0.587385434,0.741799342,0.455391785,0.945269526,0.492746579,0.906076616,0.175461556,0.424812293,0.900699706,0.413525106,0.018719793,0.025002216,0.06257117,0.965619079,0.083478397,0.429222504,0.803666085
Suicidal,0.46356159,0.457310879,0.49261235,0.173698624,0.17588062,0.38658518,0.466646781,0.185650762,0.276751334,0.214949205,0.426158478,0.190356986,0.912867001,0.151080028,0.393550163,0.079974662,0.91397818,0.859930732,0.405600609
Non Suicidal,0.20969255,0.5345758,0.4934603,0.5058765,0.46307856,0.9393675,0.4690053,0.339423,0.25297964,0.45696893,0.019929295,0.087544926,0.040530942,0.002679052,0.000872945,0.080251426,0.010565643,0.00192207,0.8631779
Suicidal,0.579993895,0.36061341,0.555416984,0.238467563,0.1893541,0.665610499,0.473625551,0.6529954,0.155942349,0.471660179,0.264426817,0.11508772,0.740486373,0.12186182,0.295583919,0.04115816,0.576328338,0.5199928,0.621595517
Non Suicidal,0.48280537,0.5231682,0.6701413,0.091607735,0.1301575,0.17270525,0.46772027,0.065987855,0.11796529,0.5367307,0.015145509,0.056418065,0.00911619,0.001920606,0.009253498,0.6643437,0.036880564,0.015268842,0.26321658
Non Suicidal,0.527416953,0.503089286,0.620500684,0.729246611,0.582554556,0.535563071,0.513813875,0.569512781,0.168574295,0.534959771,0.557330915,0.586156939,0.045428902,0.028097017,0.027308878,0.923647335,0.033395942,0.040953132,0.826911385
Suicidal,0.714168863,0.482107589,0.639577876,0.256313519,0.252144692,0.751640605,0.474358891,0.050710688,0.472899596,0.239042953,0.38615132,0.313651363,0.81425667,0.210410301,0.9051583,0.041684038,0.772654991,0.559818643,0.60466115
Non Suicidal,0.554489429,0.421838302,0.508706245,0.502432024,0.35303011,0.933692595,0.517904786,0.651906886,0.500730951,0.604109942,0.692814235,0.401059509,0.027481688,0.008914511,0.004437435,0.614996626,0.051419548,0.413683169,0.567585592
Non Suicidal,0.515430045,0.446919522,0.73294828,0.450415513,0.319148709,0.608822562,0.517766815,0.552541416,0.408799824,0.498081772,0.644547337,0.106987473,0.019652032,0.007805688,0.021378633,0.316818767,0.096800767,0.296454361,0.495635521
Suicidal,0.580043549,0.483026406,0.505882976,0.191835363,0.198498115,0.582778224,0.5000306,0.442387275,0.493415343,0.403424075,0.328356783,0.211496273,0.918643747,0.193425645,0.891926197,0.052292575,0.447784489,0.840031053,0.759004781
Suicidal,0.467141339,0.45343693,0.382522268,0.12303616,0.343141536,0.553192066,0.465075094,0.236989971,0.115239252,0.123653706,0.166630208,0.059429863,0.864413689,0.099765143,0.300891065,0.016754586,0.411920898,0.800153156,0.108328844
Non Suicidal,0.566577768,0.567299729,0.439164672,0.302616447,0.573897311,0.793796344,0.51119289,0.897395688,0.539797771,0.59770838,0.626542398,0.50677188,0.001536464,0.028619387,0.003980461,0.613838614,0.070597003,0.261385482,0.758740885
Non Suicidal,0.590209671,0.420224481,0.466799471,0.516320208,0.487898403,0.331047722,0.478029359,0.628570388,0.500863001,0.643434859,0.694029441,0.623322453,0.038729678,0.014941703,0.085891234,0.791780808,0.092886793,0.214680447,0.759497791
Suicidal,0.512244159,0.404448734,0.513428026,0.208727967,0.275774483,0.748339048,0.502062576,0.716287043,0.21704812,0.142715167,0.247673087,0.349427389,0.202491466,0.215252905,0.582672269,0.018322651,0.854543388,0.881578847,0.162493698
Non Suicidal,0.453994943,0.528610421,0.42022214,0.258637737,0.260243027,0.417219227,0.513449727,0.895217573,0.376255246,0.44995574,0.571011536,0.136591171,0.092075121,0.002056926,0.003880747,0.504210399,0.012249094,0.185272777,0.820749527
Non Suicidal,0.611804046,0.438574368,0.49673402,0.633066045,0.259041863,0.899835856,0.471988184,0.840890766,0.530863931,0.425382996,0.598193536,0.632615734,0.070515457,0.011511755,0.074458927,0.747608983,0.023481822,0.379966927,0.606793478
Suicidal,0.534480732,0.482850013,0.492457752,0.093071345,0.268003203,0.599537983,0.503452369,0.522613966,0.443777404,0.522362617,0.168098145,0.251842709,0.935028439,0.039227651,0.698226263,0.076979542,0.205042972,0.597603274,0.269142061
Suicidal,0.674217902,0.462185829,0.290064837,0.283980196,0.244292221,0.464068945,0.484551924,0.081528876,0.231688588,0.287857004,0.170729695,0.373908255,0.842769333,0.191329998,0.369038252,0.079706224,0.418526853,0.811513778,0.825272875
Suicidal,0.432005756,0.362942387,0.608977809,0.212699878,0.347549064,0.166029408,0.465067036,0.739098071,0.148178792,0.10609044,0.249933731,0.170944854,0.673490557,0.118522838,0.811425968,0.07111449,0.512952241,0.571061533,0.159758127
Suicidal,0.464030678,0.485548073,0.416959631,0.13097999,0.351994297,0.433773928,0.491315487,0.71645597,0.300891764,0.213822371,0.659761353,0.344793743,0.136519284,0.176813336,0.269177124,0.09840779,0.954613421,0.687334919,0.747982337
Non Suicidal,0.279092567,0.561065062,0.428646936,0.649439073,0.258107523,0.920165781,0.505633926,0.464129604,0.674490373,0.467120991,0.528184283,0.133385372,0.012142665,0.006035421,0.050052224,0.786135398,0.044377127,0.057835093,0.338068082
Suicidal,0.409143527,0.393906392,0.606814311,0.086851041,0.389487779,0.267109439,0.480314835,0.13706719,0.408360688,0.277625243,0.192008025,0.374561691,0.616174345,0.101884269,0.754737274,0.03638945,0.723830358,0.556273786,0.82325974
Non Suicidal,0.428832116,0.479854146,0.525800845,0.643907059,0.225471851,0.839708305,0.492237403,0.664578358,0.543721099,0.472832071,0.757945691,0.227091626,0.078303604,0.01240802,0.072189609,0.719444334,0.081428693,0.123892075,0.335627039
Suicidal,0.381441589,0.356988743,0.276044177,0.213029265,0.437504735,0.201210014,0.490442286,0.091103467,0.47400021,0.275586911,0.327493305,0.193887621,0.907391711,0.157487436,0.239994436,0.048949656,0.250730575,0.796711721,0.673269681
Non Suicidal,0.287192573,0.507979105,0.573199527,0.471239453,0.465520613,0.325371135,0.471798922,0.458494911,0.484792504,0.628272607,0.778656495,0.136352716,0.093143497,0.02866216,0.049064335,0.745453271,0.042580185,0.130197751,0.494535056
Suicidal,0.642111533,0.440551947,0.311767405,0.231816646,0.352150776,0.165977242,0.480137486,0.546331298,0.180961831,0.126655935,0.248294187,0.068043635,0.515538892,0.152471243,0.462190771,0.017617724,0.88832027,0.450886012,0.72048354
Non Suicidal,0.21157822,0.537626338,0.301583224,0.34727121,0.538777768,0.739942408,0.482546608,0.619098714,0.286779756,0.482140564,0.402623123,0.638893949,0.045800305,0.028305087,0.026690042,0.250138141,0.017908056,0.179297309,0.886485036
Non Suicidal,0.2170185,0.50120294,0.28511143,0.8434971,0.5364998,0.7034131,0.47472978,0.8937701,0.42324904,0.56253237,0.94238925,0.24900341,0.000255112,0.000210756,0.001051695,0.9265864,0.067492545,0.002744548,0.001658983
Non Suicidal,0.345166931,0.477494918,0.75208651,0.735634878,0.208792465,0.990952545,0.483936699,0.670526686,0.680007181,0.58057426,0.40361826,0.2090034,0.06886565,0.027237915,0.025013167,0.854488365,0.089734622,0.072577047,0.945625969
Non Suicidal,0.368733519,0.506263521,0.425226032,0.563672762,0.386101621,0.394131824,0.485035718,0.775031199,0.487153327,0.493392185,0.95531158,0.436827015,0.04891669,0.013675615,0.026713679,0.528948591,0.017120795,0.121583574,0.810579174
Non Suicidal,0.41124098,0.456955886,0.552441416,0.694639283,0.465356284,0.517626532,0.497976161,0.797390357,0.226329859,0.427769515,0.438719848,0.258745649,0.007130457,0.012475136,0.032121487,0.98435834,0.040072506,0.109695541,0.576040706
Suicidal,0.493422795,0.457921588,0.605003982,0.167598686,0.371161642,0.3789387,0.484395311,0.412520889,0.089151181,0.414269329,0.683538871,0.372381364,0.367649787,0.063414978,0.467634724,0.022293228,0.759510727,0.471039598,0.14158196
Non Suicidal,0.274379719,0.431147065,0.555381337,0.460217839,0.530788681,0.821411384,0.509847302,0.513500902,0.240594816,0.644578093,0.926303256,0.257833823,0.058203007,0.023710436,0.092518885,0.777545241,0.030792383,0.248391559,0.887660942
Suicidal,0.527756132,0.491207862,0.219549846,0.185320354,0.265516025,0.206646101,0.46049716,0.75845558,0.04810335,0.315028039,0.531468923,0.149072288,0.168478011,0.148247443,0.685603885,0.080613997,0.877176819,0.886891094,0.03569251
Non Suicidal,0.38087144,0.48022518,0.29648438,0.78680706,0.47531575,0.5497422,0.5108915,0.93024665,0.10570211,0.45795766,0.9834162,0.15899067,8.03E-05,0.000130339,5.11E-05,0.9989641,0.000305064,0.000254026,0.000215098
Non Suicidal,0.581873317,0.543960229,0.452861241,0.658090847,0.447006332,0.464285178,0.499258516,0.511102743,0.602366084,0.460716405,0.956262483,0.205775798,0.083023058,0.026812933,0.075878474,0.8741637,0.026523298,0.113344059,0.917586846
Suicidal,0.428261895,0.456220811,0.618165843,0.134115199,0.439958103,0.366935668,0.494307535,0.70174086,0.122845591,0.36443448,0.522994771,0.16436668,0.877368961,0.138819012,0.751115628,0.046485044,0.820911466,0.627524604,0.66641507
Non Suicidal,0.60923648,0.436963948,0.330711231,0.564374377,0.573038336,0.574179226,0.489647541,0.601887595,0.381101944,0.63119363,0.577954618,0.368967559,0.017993101,0.007535764,0.069574151,0.907246145,0.018955509,0.139272745,0.363968093
Non Suicidal,0.544574145,0.559149643,0.326292345,0.741340142,0.237474064,0.691814068,0.490315866,0.773104705,0.541968224,0.64415382,0.409394402,0.228742442,0.032982827,0.007135313,0.019645099,0.9818187,0.023992452,0.360200281,0.419405363
Non Suicidal,0.351311523,0.567140959,0.622890908,0.535658951,0.388148197,0.908576621,0.486096078,0.607081047,0.665828265,0.400081857,0.716808744,0.178854974,0.06564542,0.015734296,0.010622563,0.296481773,0.043003862,0.046160639,0.800425531
Non Suicidal,0.25862342,0.47142532,0.50078934,0.20520303,0.37541252,0.002650115,0.4654593,0.33694747,0.44614232,0.4527578,0.7135399,0.20548773,0.002336176,2.81E-05,0.000393357,0.061341874,0.022578875,0.009370057,0.90395164
Non Suicidal,0.497766079,0.449800331,0.306235839,0.427476581,0.20740133,0.3262327,0.511045661,0.455501269,0.422346445,0.409643988,0.613246261,0.220475963,0.081357552,0.028041487,0.030936739,0.530683544,0.009383825,0.412425182,0.686784147
Non Suicidal,0.28699603,0.498564454,0.647813644,0.611517018,0.344831951,0.754229676,0.498187941,0.559425918,0.439938722,0.407278757,0.442890682,0.310445712,0.046350269,0.00656081,0.055715536,0.547433421,0.062796956,0.363254243,0.663098557
Suicidal,0.35034308,0.36989674,0.5489568,0.192539,0.3752243,0.5165094,0.4776787,0.19781318,0.22602046,0.47731453,0.00499029,0.22016332,0.8703532,0.004894115,0.00048591,0.009434242,0.065408565,0.00024361,0.049180303
Non Suicidal,0.556474879,0.480593724,0.72513052,0.861916443,0.262438573,0.681052608,0.51149456,0.893575617,0.560762534,0.395332692,0.407323966,0.637665325,0.093109004,0.002782528,0.021397032,0.382410248,0.034969416,0.153490801,0.522286386
Suicidal,0.624307706,0.397308547,0.36082926,0.293977506,0.449286824,0.499112766,0.470571755,0.677929482,0.204474884,0.396246834,0.120099682,0.282921321,0.175720389,0.225923302,0.448275649,0.039750339,0.205229414,0.704727609,0.250372772
Suicidal,0.39696897,0.368898006,0.354785065,0.110799816,0.373789667,0.719143417,0.508936219,0.771103153,0.326498191,0.145386595,0.696568562,0.383702057,0.880698597,0.166211747,0.300614384,0.094833507,0.437423442,0.833199234,0.432650944
Suicidal,0.37943602,0.53463167,0.36066493,0.15692301,0.41342044,0.002898857,0.47264424,0.08112293,0.21666844,0.55111915,0.10694313,0.60889477,0.013322512,0.000328087,0.009899757,0.004527415,0.5697968,0.002483627,0.39964184
Non Suicidal,0.382014741,0.523598173,0.409312148,0.658539469,0.405371561,0.370229924,0.499594022,0.794914574,0.324532877,0.431406273,0.73821319,0.584991904,0.051696303,0.014475914,0.068501517,0.85928739,0.084528445,0.10667171,0.912096069
Non Suicidal,0.40333076,0.489721191,0.642562776,0.770851678,0.47100913,0.692721554,0.477683304,0.728457542,0.498793446,0.461839643,0.639097501,0.229433407,0.004382439,0.000725933,0.05350426,0.551501544,0.020149527,0.084793151,0.416328834
Non Suicidal,0.394807433,0.499252563,0.61833715,0.784650694,0.336986552,0.477521152,0.505962305,0.508660691,0.273673684,0.600188801,0.868946241,0.174985803,0.02913635,0.009242779,0.03629329,0.304819948,0.025724102,0.213165516,0.759149275
Non Suicidal,0.379669051,0.508106117,0.618578235,0.634496168,0.218702404,0.917445062,0.515268534,0.723032846,0.629922807,0.555008536,0.930827023,0.519662573,0.058830886,0.021521918,0.007425598,0.605086981,0.096733312,0.097705742,0.336677506
Suicidal,0.389155892,0.440174191,0.619033946,0.254110577,0.383979758,0.448729091,0.493984453,0.136623812,0.253804534,0.347744768,0.435688129,0.156958329,0.685237281,0.133704362,0.691560108,0.021900795,0.93038203,0.776602319,0.73226945
Suicidal,0.622301372,0.472972997,0.545725953,0.22512703,0.291176731,0.28705188,0.484519933,0.16335009,0.302434215,0.412275895,0.421074137,0.096045159,0.276106766,0.038374906,0.697897699,0.0762315,0.781453257,0.822617551,0.435718048
Suicidal,0.735300148,0.433097427,0.343167274,0.180494293,0.231205134,0.096317681,0.474323157,0.141306122,0.134606299,0.115716555,0.325451943,0.163265452,0.477272659,0.060850043,0.826016492,0.022159896,0.87176224,0.491233013,0.42293463
Suicidal,0.482874456,0.420512991,0.478462704,0.242615531,0.27401631,0.163742865,0.467721716,0.339751357,0.099169572,0.349151764,0.546688725,0.0882041,0.438031305,0.075974194,0.839199251,0.00298691,0.518798247,0.66354655,0.67589962
Suicidal,0.22820799,0.4798612,0.36503303,0.20012768,0.3986473,0.91487056,0.5026414,0.3265569,0.11378323,0.3335124,0.99867105,0.3901429,0.84938926,0.00471152,0.016883872,0.00069208,0.016873142,0.05994055,0.05150959
Non Suicidal,0.601234636,0.580383483,0.458460795,0.726892644,0.397609596,0.496725819,0.480582727,0.552619971,0.223329,0.531501915,0.598071146,0.37047569,0.028430339,0.011863704,0.060096811,0.886854563,0.097930556,0.012558935,0.781167761
Non Suicidal,0.484957772,0.577448061,0.609987805,0.877727785,0.220948691,0.355353753,0.513452202,0.788632276,0.203442604,0.552950873,0.790307072,0.426795657,0.086116637,0.025896003,0.026370144,0.823440361,0.031971947,0.439680501,0.855600316
Non Suicidal,0.291592013,0.505767243,0.528472834,0.383961669,0.292559448,0.440332479,0.510762228,0.482004632,0.673068511,0.472675678,0.762496653,0.143414627,0.05904892,0.011957941,0.040057595,0.569633192,0.044328237,0.06004683,0.742458882
Non Suicidal,0.58572,0.50687015,0.504171,0.21842465,0.33458734,0.011609879,0.47437966,0.6362573,0.17346956,0.5571273,0.81796265,0.20780694,0.012147177,0.00587574,0.06765557,0.4514708,0.05569752,0.16495599,0.24219714
Non Suicidal,0.33884513,0.474087,0.3935571,0.14236537,0.20362261,0.6056586,0.47956005,0.22989541,0.2989127,0.56780267,0.003081182,0.11728829,0.007942767,0.007816081,0.000464913,0.9398351,0.003363401,0.000576905,0.040000893
Suicidal,0.554387377,0.497847238,0.558464735,0.184955385,0.286988476,0.546325614,0.492442043,0.379942907,0.381742683,0.476534504,0.547998672,0.074087917,0.613133193,0.115472824,0.438071537,0.071315519,0.807759012,0.684554366,0.412369437
Non Suicidal,0.509648757,0.547177245,0.324434588,0.358522024,0.289685122,0.550079038,0.486432226,0.849291277,0.568475132,0.541299476,0.596376198,0.515067879,0.009337349,0.005653443,0.0452887,0.36633537,0.06841868,0.344823117,0.889761304
Suicidal,0.601163662,0.381056866,0.569210002,0.25648794,0.324423052,0.240022385,0.486047169,0.533244017,0.183119473,0.203821347,0.334605305,0.05931793,0.929019043,0.186897937,0.327420224,0.004432671,0.624794317,0.807898095,0.424989624
Suicidal,0.499402111,0.414766284,0.279793355,0.164977185,0.27309027,0.691246293,0.483031591,0.703943243,0.139688119,0.160797619,0.244624337,0.209413233,0.163131812,0.098372153,0.781506453,0.001186929,0.375186732,0.685557829,0.392807526
Suicidal,0.63252422,0.432177881,0.48494511,0.180028653,0.282844324,0.462568246,0.467126062,0.759393229,0.256016142,0.549293121,0.677780641,0.177970205,0.74535218,0.184310116,0.766319792,0.008917697,0.68619504,0.810092152,0.618656599
Suicidal,0.407446324,0.493132796,0.283553002,0.243421814,0.235354189,0.675899626,0.509499564,0.362481807,0.209684602,0.276645934,0.394887324,0.2074114,0.106665379,0.222609636,0.652626091,0.099073376,0.484580932,0.564155909,0.315344765
Suicidal,0.68243206,0.371795729,0.331128618,0.083632103,0.219162747,0.709845682,0.47839097,0.448514115,0.050862634,0.533667986,0.238252041,0.06940463,0.728056941,0.166962305,0.309408971,0.094014562,0.552565148,0.459292463,0.103972239
Non Suicidal,0.335568028,0.532098376,0.680179739,0.851987593,0.386761118,0.794410697,0.516988129,0.617032051,0.464039785,0.49132659,0.571315483,0.233099365,0.081475074,0.009978009,0.005730642,0.835622046,0.079124541,0.196155665,0.701066183
Suicidal,0.779825045,0.485549227,0.214340256,0.18420004,0.310211373,0.677198421,0.485517006,0.60957345,0.345614299,0.157150192,0.397148951,0.200727785,0.851479283,0.059048021,0.645254733,0.071663084,0.736564425,0.511681765,0.43904252
Non Suicidal,0.510206523,0.454890037,0.492697498,0.668234121,0.501950962,0.314365271,0.519659888,0.548900166,0.344113287,0.514833167,0.681845572,0.330875267,0.028472385,0.009897014,0.035472582,0.262215963,0.025219504,0.181256536,0.377880836
Suicidal,0.57593465,0.44744167,0.3445378,0.4446468,0.41227406,0.73849237,0.48767978,0.5351821,0.1493726,0.32599142,0.9917109,0.23805925,0.03975767,0.28250772,0.026116617,0.10757509,0.09451206,0.36771542,0.08181544
Suicidal,0.371952872,0.447926977,0.259174404,0.127069083,0.337279281,0.633339584,0.476403462,0.402915173,0.212919359,0.277292464,0.333555734,0.126263787,0.568004754,0.182554963,0.293726224,0.092125345,0.376595147,0.773748584,0.239883753
Suicidal,0.455217976,0.43835718,0.459221504,0.268214288,0.302540114,0.724017844,0.48594515,0.547096878,0.172799267,0.544067399,0.397836591,0.29169969,0.314006562,0.035753978,0.343296354,0.099159695,0.42304087,0.642866244,0.130535359
Suicidal,0.511448954,0.407862369,0.327479306,0.15474222,0.392792252,0.39034882,0.488611044,0.356151014,0.354978421,0.490103672,0.39844566,0.217612744,0.962484081,0.223369734,0.323693032,0.027124986,0.646977293,0.793740031,0.126516172
Suicidal,0.656813332,0.433215436,0.448474515,0.252571704,0.31045827,0.109399117,0.479055821,0.502410801,0.261873069,0.388978433,0.155897598,0.353359553,0.888002012,0.190842375,0.454785985,0.010030378,0.928837814,0.625611238,0.103058208
Suicidal,0.734165558,0.421171693,0.512688254,0.148841991,0.107262818,0.742881655,0.497621318,0.29922163,0.420219174,0.430119193,0.648018208,0.302903962,0.142638186,0.030090686,0.358044152,0.098499657,0.411544571,0.624369375,0.643854777
Non Suicidal,0.53207916,0.58314633,0.3783505,0.108650446,0.12596387,0.67628914,0.4679482,0.058127664,0.12343702,0.49112755,0.24801907,0.17092372,0.000562301,8.45E-05,0.001018816,0.36961436,0.006162725,0.3268845,0.2956727
Suicidal,0.506757524,0.415327904,0.391259146,0.103794408,0.317578495,0.718333794,0.485991365,0.126228688,0.30743151,0.188209128,0.661166174,0.14352501,0.408888215,0.223855654,0.625202294,0.013898609,0.263915392,0.692025769,0.136737539
Non Suicidal,0.272098552,0.401347367,0.357740769,0.534193804,0.411620544,0.744984181,0.475597769,0.680998029,0.264905623,0.496502099,0.886155181,0.414578613,0.018298839,0.028210145,0.03281131,0.637415306,0.093588906,0.362655521,0.658121295
Non Suicidal,0.567423173,0.577124973,0.510898397,0.453195572,0.23807442,0.872118819,0.486451556,0.913117767,0.146211179,0.491708805,0.803819705,0.548068275,0.031781198,0.006316688,0.054417405,0.794952059,0.024777793,0.050569876,0.499272365
Suicidal,0.382126263,0.458459474,0.236322239,0.18062727,0.297973573,0.577409815,0.471021233,0.211702771,0.182790692,0.448962027,0.530234216,0.325188409,0.5406147,0.157041752,0.636034093,0.027564232,0.204072124,0.652505106,0.317747131
Suicidal,0.520955376,0.484290204,0.448278931,0.19378525,0.396201558,0.110490422,0.464208568,0.198234272,0.179076271,0.162202063,0.653505328,0.093586047,0.440490112,0.047585009,0.749500054,0.016465064,0.6521271,0.645351828,0.298819857
Non Suicidal,0.339784866,0.454855443,0.505586023,0.634207632,0.55869892,0.570628714,0.515690522,0.916088136,0.651932453,0.426669003,0.87371567,0.616582887,0.017324131,0.027713577,0.032948883,0.932400879,0.024776214,0.448658245,0.382682024
Non Suicidal,0.611735065,0.44283507,0.326070539,0.257298051,0.526769987,0.529774864,0.482630659,0.750495051,0.527999986,0.485351154,0.480655826,0.172808533,0.016939663,0.023859767,0.027919527,0.542405255,0.076295808,0.08021615,0.798674408
